,LinearRegression,Lasso,Ridge,LassoLars,BayesianRidge,ElasticNet
max_error,15356.634635062896,11715.072947400055,15343.192806145147,14073.069981067252,15343.344954804197,19275.603151070958
median_absolute_error,530.0721350628983,602.3413390879223,530.450104413143,505.0062715277695,530.4520363453557,756.032524584416
mean_squared_error,1254076.8085504083,1322914.008460928,1254150.0652896967,1924816.8795512298,1254149.3247845331,2439752.500862274
r2_score,0.920622999144878,0.91626593709022,0.920618362347341,0.878168394429766,0.9206184092177389,0.8455754583556303
explained_variance_score,0.920624507245182,0.9162684623842967,0.9206200784694838,0.8781705697025861,0.92062012530801,0.8455779099540678
